character_1,character_2,relationship
فریبرز,خرنجاش,کشنده
ضحاک,جمشید,کشنده
بارمان پسر ویسه,قباد پهلوان,کشنده
رستم,ارژنگ دیو,کشنده
رستم,جویان,کشنده
رستم,ژنده رزم,کشنده
فرود,ریونیز داماد توس,کشنده
کاموس کشانی,الوای زابلی,کشنده
رستم,گهار,کشنده
رستم,اکوان,کشنده
کی خسرو,افراسیاب تورانی,کشنده
تخوار,طلایه دار سپاه مکران,کشنده
بی درفش,زریر,کشنده
اسفندیار,بی درفش,کشنده
سپاه ارجاسپ,اردشیر گشتاسب,کشنده
سپاه ارجاسپ,شیر اورمزد,کشنده
سپاه ارجاسپ,گرامی پسر جاماسب,کشنده
سپاه ارجاسپ,نیوزار,کشنده
شیدسب,کهرم پسر ارجاسب,کشنده
سپاه کهرم پسر بزرگ ارجاسپ,لهراسپ,کشنده
,‌ی نامشخص,کشنده
گشتاسپ,گرگ بیشه‌ی فاسقون,کشنده
نوش آذر اسفندیار,الوای (دیگر),کشنده
زواره,نوش آذر اسفندیار,کشنده
فرامرز,مهرنوش اسفندیار,کشنده
شغاد,رستم,کشنده
رستم,شغاد,کشنده
فرامرز,شاه کابل,کشنده
جانوشیار,دارای داراب,کشنده
ماهیار موبد,دارای داراب,کشنده
شاپور هوبه سنبا,طایر,کشنده
ضحاک,مرداس,کشنده
ضحاک,برمایه (گاو),کشنده
ضحاک,آبتین,کشنده
تور,ایرج,کشنده
خنگ (اسب , ی یزدگرد),کشنده
بهرام گور,کرگ (بهرام گور),کشنده
کسرا انوشیروان,سیمای برزین,کشنده
کسرا انوشیروان,بهرام آذرمهان,کشنده
شیرین,مریم دختر قیصر,کشنده
خسرو آسیابان,یزدگرد سوم,کشنده
سعد وقاص,رستم فرخ زاد,کشنده
رستم,شیر (هفت خوان),کشنده
رستم,زن جادو (هفت خوان),کشنده
اسفندیار,گرگسار,کشنده
اسکندر,اشک (اسکندر),کشنده
سام,اژدهای توس,کشنده
دژخیم شاه مازندران,شاه مازندران,کشنده
اسفندیار,اژدها (هفت خوان اسفندیار),کشنده
اسفندیار,دو گرگ (هفت خوان اسفندیار),کشنده
اسفندیار,شیران (هفت خوان اسفندیار),کشنده
اسفندیار,زن جادو (اسفندیار),کشنده
اسفندیار,سیمرغ (اسفندیار),کشنده
نوش آذر اسفندیار,ترخان (اسنفدیار),کشنده
بهرام گور,اژدها (بهرام گور),کشنده
رهام,بارمان دوم,کشنده
هرمز پسر نوشین روان,زردهشت (انوشیروان),کشنده
هرمزد شهران گراز,فرایین(آپادشاهی ),کشنده
شغاد,رستم,کشنده
قلون (چینی),بهرام چوبیه,کشنده
شغاد,زواره,کشنده
کهرم پسر بزرگ ارجاسپ,فرشیدورد (برادر اسفندیار),کشنده
زال زر,کلباد نخست,کشنده
بهرام چوبیه,مقاتوره,کشنده
قارن کاوه,بارمان پسر ویسه,کشنده
زال زر,خزروان (افراسیاب),کشنده
رخش رستم,شیر (هفت خوان),کشنده
رستم,اژدها (هفت خوان),کشنده
گرازه,سیامک (تورانی),کشنده
کی خسرو,ایلا,کشنده
رستم,پولاد غندی (اولاد غندی),کشنده
رستم,سنجه,کشنده
گشتاسپ,اژدهای سقیلا,کشنده
اسفندیار,ارجاسب,کشنده
گستهم دایی خسرو پرویز,خسرو پرویز,خویشاوند
بندوی,خسرو پرویز,خویشاوند
پشنگ (فریدون),فریدون,خویشاوند
سودابه,سیاوش,خویشاوند
خویش گرسیوز,گرسیوز,خویشاوند
شاه هاماوران,کاووس,خویشاوند
زرسپ طوس,ریونیز کاووس,خویشاوند
هجیر,گژدهم,خویشاوند
گیو,رستم,خویشاوند
سپهرم,افراسیاب تورانی,خویشاوند
مهراب,زال زر,خویشاوند
شاه سمنگان,رستم,خویشاوند
ژنده رزم,سهراب,خویشاوند
سیاوش,پیران ویسه,خویشاوند
قیصر (گشتاسپ),گشتاسپ,خویشاوند
میرین,قیصر (گشتاسپ),خویشاوند
اهرن,قیصر (گشتاسپ),خویشاوند
ساسان ساسانیان,بابک,خویشاوند
تور,سرو شاه یمن,خویشاوند
سلم,سرو شاه یمن,خویشاوند
ایرج,سرو شاه یمن,خویشاوند
خواهر زاده ی بزرگمهر,بزرگمهر,خویشاوند
قیصر (خسرو پرویز),خسرو پرویز,خویشاوند
برانوش,قیصر (خویش برانوش),خویشاوند
سیاوش,رستم,خویشاوند
داراب,گازر,خویشاوند
داراب,زن گازر,خویشاوند
